Location name,Amount spent (ISK)
Capital Region,32508
Eastern Region,1121
Northeastern Region,2556
Northwestern Region,437
Southern Peninsula,2743
Southern Region,2739
Unknown,≤100
Western Region,2681
Westfjords,559
