Location name,Amount spent (COP)
Amazonas,1151
Antioquia,2120479
Arauca,27675
Atlantico,1042111
Bolivar,231052
Boyaca,127402
Caldas,397617
Caqueta,66295
Casanare,40578
Cauca,326363
Cesar,142644
Choco,40477
Cordoba,231990
Cundinamarca,394785
Distrito Especial,8315279
Guainia,1715
Guaviare,8106
Huila,413035
La Guajira,61185
Magdalena,154971
Meta,235666
Narino,143193
Norte de Santander,188590
Putumayo,31126
Quindio,265876
Risaralda,647236
San Andres y Providencia,8812
Santander,254881
Sucre,121879
Tolima,206260
Unknown,210
Valle del Cauca,2132088
Vaupes,503
Vichada,879
