Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,129
Berane Municipality,≤100
Bijelo Polje Municipality,154
Budva Municipality,156
Danilovgrad Municipality,≤100
Herceg Novi Municipality,117
Kolašin Municipality,≤100
Nikšić Municipality,172
Old Royal Capital Cetinje,≤100
Petnjica Municipality,≤100
Plav Municipality,≤100
Pljevlja Municipality,≤100
Plužine Municipality,≤100
Podgorica Capital City,702
Rožaje Municipality,≤100
Tivat Municipality,127
Ulcinj Municipality,145
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
