Location name,Amount spent (RON)
Alba County,174
Arad County,338
Argeș County,256
Bacău County,302
Bihor County,320
Bistrița-Năsăud County,195
Botoșani County,180
Brașov County,331
Brăila County,153
Bucharest,2015
Buzău County,196
Caraș-Severin County,142
Cluj County,582
Constanța County,388
Covasna County,114
Călărași County,170
Dolj County,346
Dâmbovița County,217
Galați County,366
Giurgiu County,≤100
Gorj County,242
Harghita County,279
Hunedoara County,307
Ialomița County,≤100
Iași County,554
Ilfov County,242
Maramureș County,272
Mehedinți County,143
Mureș County,374
Neamț County,279
Olt County,157
Prahova County,371
Satu Mare County,183
Sibiu County,195
Suceava County,317
Sălaj County,113
Teleorman County,194
Timiș County,484
Tulcea County,≤100
Unknown,≤100
Vaslui County,148
Vrancea County,156
Vâlcea County,191
