Location name,Amount spent (VND)
An Giang Province,18624
Bà Rịa–Vũng Tàu Province,23857
Bình Dương Province,47268
Bình Phước Province,6109
Bình Thuận Province,13820
Bình Định Province,15300
Bạc Liêu Province,8183
Bắc Giang Province,11022
Bắc Kạn Province,710
Bắc Ninh Province,9509
Bến Tre Province,34395
Cao Bằng Province,1229
Cà Mau Province,9117
Cần Thơ,154315
Da Nang,123949
Gia Lai Province,110450
Haiphong,162341
Ho Chi Minh City,1416340
Hà Giang Province,1920
Hà Nam Province,3553
Hà Tĩnh Province,8043
Hòa Bình Province,1632
Hưng Yên Province,5820
Hải Dương Province,9302
Hậu Giang Province,3006
Khánh Hòa Province,19202
Kiên Giang Province,24905
Kon Tum Province,41138
Lai Châu Province,642
Long An Province,11177
Lào Cai Province,3665
Lâm Đồng Province,17942
Lạng Sơn Province,3435
Nam Định Province,5128
Nghệ An Province,14748
Ninh Bình Province,5625
Ninh Thuận Province,3916
Phú Thọ Province,4440
Phú Yên Province,4679
Quảng Bình Province,4943
Quảng Nam Province,8020
Quảng Ngãi Province,5140
Quảng Ninh Province,143153
Quảng Trị Province,4907
Sóc Trăng Province,9073
Sơn La Province,3049
Thanh Hóa Province,11884
Thái Bình Province,4400
Thái Nguyên Province,6124
Thừa Thiên–Huế Province,121908
Tiền Giang Province,13331
Trà Vinh Province,5482
Tuyên Quang Province,1853
Tây Ninh Province,12041
Vĩnh Long Province,17463
Vĩnh Phúc Province,4897
Yên Bái Province,1942
Điện Biên Province,1250
Đắk Lắk Province,236275
Đắk Nông Province,6326
Đồng Nai Province,61632
Đồng Tháp Province,17082
