Location name,Amount spent (IDR)
Aceh,831290
Bali,1839685
Bangka–Belitung Islands,438492
Banten,4466050
Bengkulu,863556
Central Java,7518943
Central Kalimantan,1104518
Central Sulawesi,1204452
East Java,10605391
East Kalimantan,2111953
East Nusa Tenggara,1531745
Gorontalo,911290
Jakarta,8849457
Jambi,969142
Lampung,1878815
Maluku,1027578
North Kalimantan,339380
North Maluku,893559
North Sulawesi,2407116
North Sumatra,4246848
Papua (province),1354975
Riau,2115446
Riau Islands Province,969719
South Kalimantan,1261229
South Sulawesi,2704409
South Sumatra,2341210
Southeast Sulawesi,859510
Special Region of Yogyakarta,1091975
Unknown,3002
West Java,16165427
West Kalimantan,1505509
West Nusa Tenggara,1665986
West Papua,743691
West Sulawesi,474141
West Sumatra,1249168
