Location name,Amount spent (EUR)
Alsace,766
Aquitaine,1278
Auvergne,415
Basse-Normandie,471
Bourgogne,521
Bretagne,1070
Centre,885
Champagne-Ardenne,412
Corse,164
Franche-Comté,346
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,820
Languedoc-Roussillon,1131
Limousin,214
Lorraine,910
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1016
New Caledonia,≤100
Nord-Pas-de-Calais,1301
Pays de la Loire,1235
Picardie,866
Poitou-Charentes,555
Provence-Alpes-Côte d'Azur,2282
Reunion Island,≤100
Rhône-Alpes,2253
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4163
