Location name,Amount spent (PYG)
Alto Paraguay Department,8603
Alto Paraná Department,537094
Amambay Department,88084
Asunción,558141
Boquerón department,100108
Caaguazú Department,316534
Caazapá Department,154536
Canindeyú Department,95281
Central Department,1599200
Concepción Department (Paraguay),110201
Cordillera Department,166338
Guairá Department,94920
Itapúa Department,271304
Misiones Department,124635
Paraguarí Department,105343
Presidente Hayes Department,52649
San Pedro Department,180514
Unknown,808
Ñeembucú Department,84129
