Page ID,Page name,Disclaimer,Amount spent (FJD),Number of ads in Library
1743956595869001,Sitiveni 480 Rabuka,The Peoples Alliance,1105,7
101911352706122,Manoa 454 Kamikamica,Manoa Kamikamica,165,1
200791327158338,Bill Gavoka,Viliame Rogoibulu Gavoka,125,7
373802769341908,Fijian Elections Office,Fijian Elections Office,≤100,7
678542618881925,FijiFirst,FijiFirst Party,≤100,1
108993025227860,Bhavick Kapadia - Candidate 191 - NFP,Bhavick Kapadia,≤100,7
105390382395414,Faiyaz Koya - Vote 216,Mohammed Reyhan Shaheed,≤100,8
113451204686577,Vote 479 Filipe Tuisawau,Vote 479 Filipe Tuisawau,≤100,2
211278712925199,Amnesty International,These ads ran without a disclaimer,≤100,1
1196196390526965,Facebook Surveys,These ads ran without a disclaimer,≤100,4
111474633636880,Fiji Independent Commission Against Corruption - FICAC,Fiji Independent Commission Against Corruption (FICAC),≤100,1
104293631509386,Lami Town Council,Lami Town Council,≤100,1
106427835614306,Sashi Kiran- 207,These ads ran without a disclaimer,≤100,1
110465541836214,Mayara Betina Franco,These ads ran without a disclaimer,≤100,1
169866980156173,State Power Investment Corp,These ads ran without a disclaimer,≤100,1
454024834936241,Young SODELPA,SODELPA,≤100,1
1096538887134446,Reuters Plus,These ads ran without a disclaimer,≤100,1
1452232881531908,UNICEF East Asia & Pacific,These ads ran without a disclaimer,≤100,1
