Location name,Amount spent (MXN)
Aguascalientes,7424
Baja California,17360
Baja California Sur,3324
Campeche,7746
Chiapas,11543
Chihuahua,19336
Coahuila de Zaragoza,35304
Colima,4641
Distrito Federal,96629
Durango,4942
Guanajuato,20873
Guerrero,6457
Hidalgo,7398
Jalisco,64844
Michoacán de Ocampo,23709
Morelos,6885
Nayarit,2970
Nuevo León,37226
Oaxaca,8393
Puebla,15113
Querétaro Arteaga,12239
Quintana Roo,10156
San Luis Potosi,10283
Sinaloa,6500
Sonora,8457
State of Mexico,119004
Tabasco,5974
Tamaulipas,23144
Tlaxcala,2597
Unknown,≤100
Veracruz,20677
Yucatán,14482
Zacatecas,2975
