Location name,Amount spent (PKR)
Azad Kashmir,1054
Balochistan,1000
Federally Administered Tribal Areas,238
Gilgit-Baltistan,478
Islamabad Capital Territory,11339
Khyber Pakhtunkhwa,6344
Punjab,26153
Sindh,10520
Unknown,≤100
