Location name,Amount spent (INR)
Andaman and Nicobar Islands,1551
Andhra Pradesh,40853
Arunachal Pradesh,1486
Assam,24189
Bihar,35632
Chandigarh,2168
Chhattisgarh,23565
Dadra and Nagar Haveli,1888
Delhi,67705
Goa,4649
Gujarat,59248
Haryana,39577
Himachal Pradesh,12398
Jammu and Kashmir,9265
Jharkhand,13665
Karnataka,291644
Kerala,18308
Lakshadweep,≤100
Madhya Pradesh,56310
Maharashtra,206820
Manipur,1520
Meghalaya,2823
Mizoram,754
Nagaland,2234
Odisha,14729
Puducherry,1311
Punjab region,29298
Rajasthan,108069
Sikkim,731
Tamil Nadu,35511
Telangana,58045
Tripura,2713
Unknown,≤100
Uttar Pradesh,96497
Uttarakhand,14286
West Bengal,47643
