Location name,Amount spent (SEK)
Blekinge County,3964
Dalarna County,7893
Gotland County,1851
Gävleborg County,8526
Halland County,9125
Jämtland County,4105
Jönköping County,9642
Kalmar County,5881
Kronoberg County,4732
Norrbotten County,8143
Skåne County,40380
Stockholm County,75187
Södermanland County,8379
Unknown,≤100
Uppsala County,15199
Värmland County,7323
Västerbotten County,9235
Västernorrland County,6508
Västmanland County,7392
Västra Götaland County,51289
Örebro County,8000
Östergötland County,12092
