Location name,Amount spent (SEK)
Blekinge County,3802
Dalarna County,8363
Gotland County,1729
Gävleborg County,8307
Halland County,8727
Jämtland County,4107
Jönköping County,9657
Kalmar County,5830
Kronoberg County,5190
Norrbotten County,7362
Skåne County,42462
Stockholm County,75378
Södermanland County,8279
Unknown,≤100
Uppsala County,13188
Värmland County,7292
Västerbotten County,7440
Västernorrland County,6653
Västmanland County,7795
Västra Götaland County,53029
Örebro County,8099
Östergötland County,12722
