Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,140
Apurímac Region,≤100
Arequipa Region,127
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,194
Cusco Region,105
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,149
Junín Region,114
La Libertad Region,365
Lambayeque Region,115
Lima Region,1382
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,133
Puno Region,≤100
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
