Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
314038193269,211 - Zdravotní pojišťovna ministerstva vnitra ČR,Zdravotní pojišťovna ministerstva vnitra ČR,35570,3
60516116431,Člověk v tísni,Člověk v tísni o.p.s.,28641,19
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,27387,36
487445514669670,Petr Fiala,ODS - Občanská demokratická strana,9247,24
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,4884,12
103059308644099,Replastuj.cz,Replastuj.cz,4655,5
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,4395,15
728495140691300,Milion chvilek pro demokracii,"Milion Chvilek, z. s.",3306,2
251656685576,KDU-ČSL,KDU-ČSL,3305,9
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,2411,6
176688316811,Vodafone CZ,Vodafone Czech Republic a.s.,2037,3
1956144064659620,BlueTV,Aliance pro budoucnost,1829,1
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,1573,15
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1503,1
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,1462,5
394570898000897,Kniha Revoluce - Jakub Trpiš,Jakub Trpis,1461,23
356448681873897,Mikuláš Peksa,Mikuláš Peksa,1307,7
424114981002397,Český rozhlas Plus,Český rozhlas,1231,43
287724754662359,HateFree Culture,HateFree Culture,1180,12
214827221987263,Andrej Babiš,Andrej Babiš,1000,2
356451014434612,Marian Jurečka,KDU-ČSL,960,8
1469427909957890,Reportér magazín,Reportér magazín,960,2
178362315106,European Parliament,European Parliament,927,3
149945438407451,Svoboda zvířat,"Svoboda zvířat Plzeň, z.s.",828,2
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",786,2
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,732,5
384187235387895,Alena Schillerová,Alena Schillerová,700,2
460558621177512,Zálohujme.cz,Zálohujme,643,5
169946526003,Nadace Partnerství,Nadace Partnerství,631,1
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,598,12
1416733788557863,Pravda o vodě a voda lidem,Pravda o vodě a voda lidem,598,2
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,556,3
52479821102,Týdeník Respekt,Týdeník Respekt,549,4
693725074166331,Naše zdravotnictví,Naše zdravotnictví,527,5
1757913860945739,ORLEN Unipetrol,ORLEN Unipetrol a.s.,514,1
