Location name,Amount spent (COP)
Amazonas,15359
Antioquia,7982355
Arauca,51753
Atlantico,972572
Bolivar,202634
Boyaca,93376
Caldas,373355
Caqueta,27408
Casanare,172133
Cauca,149723
Cesar,91184
Choco,33509
Cordoba,260989
Cundinamarca,368029
Distrito Especial,1304981
Guainia,977
Guaviare,4931
Huila,186197
La Guajira,48366
Magdalena,139114
Meta,389746
Narino,108723
Norte de Santander,530058
Putumayo,55728
Quindio,109381
Risaralda,654131
San Andres y Providencia,130175
Santander,952396
Sucre,213918
Tolima,323920
Unknown,253
Valle del Cauca,2266106
Vaupes,331
Vichada,594
