Location name,Amount spent (INR)
Andaman and Nicobar Islands,556
Andhra Pradesh,82928
Arunachal Pradesh,3050
Assam,45113
Bihar,114718
Chandigarh,6236
Chhattisgarh,44805
Dadra and Nagar Haveli,5873
Delhi,96576
Goa,5417
Gujarat,132267
Haryana,66770
Himachal Pradesh,24479
Jammu and Kashmir,38438
Jharkhand,39627
Karnataka,265786
Kerala,49735
Lakshadweep,≤100
Madhya Pradesh,117320
Maharashtra,311014
Manipur,5906
Meghalaya,107957
Mizoram,2782
Nagaland,3669
Odisha,44967
Puducherry,6199
Punjab region,72404
Rajasthan,155465
Sikkim,2247
Tamil Nadu,118781
Telangana,81527
Tripura,38344
Unknown,139
Uttar Pradesh,248394
Uttarakhand,25052
West Bengal,122122
