Location name,Amount spent (PLN)
Greater Poland Voivodeship,7297
Kuyavian-Pomeranian Voivodeship,4353
Lesser Poland Voivodeship,6205
Lower Silesian Voivodeship,7579
Lublin Voivodeship,4141
Lubusz Voivodeship,2130
Masovian Voivodeship,12608
Opole Voivodeship,1418
Podkarpackie Voivodeship,2865
Podlaskie Voivodeship,2211
Pomeranian Voivodeship,4444
Silesian Voivodeship,7323
Unknown,≤100
Warmian-Masurian Voivodeship,3090
West Pomeranian Voivodeship,3826
Łódź Voivodeship,5632
Świętokrzyskie Voivodeship,1837
