Location name,Amount spent (GTQ)
Alta Verapaz Department,287
Baja Verapaz Department,≤100
Chimaltenango Department,101
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,192
Guatemala Department,2964
Huehuetenango Department,298
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,244
Quiché Department,152
Retalhuleu Department,≤100
Sacatepéquez Department,132
San Marcos Department,468
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,384
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
