Location name,Amount spent (BSD)
Bimini,≤100
Exuma,≤100
Freeport,≤100
Fresh Creek,≤100
Governor's Harbour,≤100
Harbour Island,≤100
High Rock,≤100
Inagua,≤100
Marsh Harbour,≤100
New Providence,≤100
Nichollstown and Berry Islands,≤100
Rock Sound,≤100
San Salvador and Rum Cay,≤100
