Location name,Amount spent (VEF)
Amazonas,250000
Anzoátegui,3750000
Apure,1069999
Aragua,4000000
Barinas,1754998
Bolívar (state),4000000
Capital District,12250000
Carabobo,7173282
Cojedes,757499
Delta Amacuro,250000
Falcón,2144998
Guárico,1724998
Lara,4000000
Miranda (state),8750000
Monagas,1750000
Mérida,2000000
Nueva Esparta,3000000
Portuguesa,2000000
Sucre,1682498
Trujillo,1500000
Táchira,2750000
Unknown,≤100
Vargas,1250000
Yaracuy,1750000
Zulia,8000000
