Location name,Amount spent (INR)
Andaman and Nicobar Islands,474
Andhra Pradesh,57782
Arunachal Pradesh,2299
Assam,36724
Bihar,92303
Chandigarh,4183
Chhattisgarh,17434
Dadra and Nagar Haveli,1256
Delhi,72225
Goa,5508
Gujarat,71795
Haryana,51205
Himachal Pradesh,16341
Jammu and Kashmir,32160
Jharkhand,25603
Karnataka,141983
Kerala,31274
Lakshadweep,≤100
Madhya Pradesh,68675
Maharashtra,200032
Manipur,5001
Meghalaya,116092
Mizoram,1679
Nagaland,3487
Odisha,25292
Puducherry,2979
Punjab region,53547
Rajasthan,129660
Sikkim,1663
Tamil Nadu,62346
Telangana,51943
Tripura,130136
Unknown,≤100
Uttar Pradesh,167078
Uttarakhand,18075
West Bengal,88615
