Page ID,Page name,Disclaimer,Amount spent (TRY),Number of ads in Library
226410901315304,Areda Survey,Areda Survey,1852,16
100675732413915,Anketci.Net,Anketci.Net,1745,10
116253901464354,Cat Merch,These ads ran without a disclaimer,1508,1
111162852275902,Uluslararası Af Örgütü Türkiye Şubesi,Uluslararası Af Örgütü Türkiye Şubesi,1306,6
120266711045676,Başka Açıdan Tv,Başka Açıdan TV,1004,7
100964136258105,Erdoğan Çiftcioğlu,Erdoğan Çiftcioğlu,991,1
100161253091491,Cat Merches,These ads ran without a disclaimer,912,1
2222003764721494,Halit Doğan,Halit Doğan,730,2
792468114181597,Gazete Yenigün,Gazete Yenigün,716,5
210993622366044,TVNET,TVNET,676,9
1493744950841097,Kınık Belediyesi,Sadik Dogruer,674,4
1014466885240850,Semih Esen,Semih Esen,588,2
890935934274178,Serdar Sandal,Burak Özer,540,2
122193617537005,Haberettr,HABERET MEDYA AJANSI VE PRODÜKSİYON LİMİTED ŞİRKETİ,506,1
115219274900927,Smatip1_cinar,Emrah Bilaloglu,499,2
109648772104972,NNC MEDYA I nnchaber.com.tr,Kağan Onaran,497,2
110679421171833,DareMedya,These ads ran without a disclaimer,459,2
2291169097838019,Pınarhisar Belediye Başkanı İhsan Talay,Ihsan Talay,448,1
109178520640670,İmtihan dünyası,Adem Saglam,391,2
315051185723987,Gökyüzü Sanatsal İyilik Vakfı,These ads ran without a disclaimer,358,1
842962915908391,Seçim Oyunu,These ads ran without a disclaimer,331,2
146234755411446,Mirasımız Derneği,(MİRASIMIZ) Kudüs ve Civarındaki Osmanlı Mirasını Koruma ve Yaşatma Derneği,295,1
100831549358373,Ahmet ERGİN.,Ahmet Ergin,292,2
1706624339582436,Tüsiar Araştırma Danışmanlık Ltd.Şti,TÜSİAR ARAŞTIRMA DANIŞMANLIK LTD ŞTİ,242,10
101053304952406,Mersin Objektif,These ads ran without a disclaimer,241,2
426339260809702,Oğul Aktuna,Oğul Aktuna,235,1
105372312520215,Levent Yenilmez - Şanlıurfa Bağımsız Milletvekili Adayı,Levent Yenilmez,212,1
928921137187670,ALİ UÇAK,Volkan Erel,208,1
103848288831310,Serkan Karayiğit,Baran Alperen Pınar,198,2
815048841929079,M. Ergün Turan,M. Ergün Turan,197,5
101315571670453,Webagron Tarımsal İçerik Platformu,Webagron Tarımsal İçerik Platformu,188,11
1414815935509791,MHP Kayseri Milletvekili Baki Ersoy,Latif Ersoy,151,1
786257948380440,Çetin Akın,Çetin Akın,136,1
498108350567415,Nilüfer Deveci,Nilufer Deveci,121,1
106789305232883,وكالة الشرق الأوسط الإخبارية,وكالة الشرق الأوسط الإخبارية,119,13
463215923715177,Mehmet Yiğiner,Bekir Koyuncu,118,5
105376981385020,Referandom,Referandom,112,1
287940405085613,symriseag,These ads ran without a disclaimer,110,1
265844090538743,Cüneyt Yüksel,Cüneyt Yüksel,108,1
115761391488379,OnurAndarimanadestekol,These ads ran without a disclaimer,107,1
1657215431168321,Mustafa Gültak,Mustafa Gültak,101,1
108223931642561,SamsunE-dergi,Samsun E Dergi,101,1
801586336532462,Rize Belediyesi,Rize Belediyesi,≤100,1
1085457468132635,DEV MADEN SEN,DEV MADEN SEN,≤100,1
103583814427116,Tolga Arslan,Tolga Arslan,≤100,1
106882027720933,Ugreen_Us,These ads ran without a disclaimer,≤100,1
756997834458624,Türkiye 360,Yamen Elredey,≤100,1
101513841785199,Mustafa Gökçe,Mustafa Gokce,≤100,1
552260448501128,Çan'ın Sesi,Begum Bayyar,≤100,2
1776545895921237,Nedersiniz,Nedersiniz,≤100,3
158077404753235,Çanakkale Zafer TV,Zafer Durmaz,≤100,2
575755372513811,Muhittin Böcek,Muhittin Böcek,≤100,5
146581405452633,Yeniden Milli Mücadele,Yeniden Milli Mücadele,≤100,3
643621062330239,Bülent ÖZCAN,These ads ran without a disclaimer,≤100,1
1156591567874276,Halil Arda,Halil Arda,≤100,1
120526908105389,AK Gençlik Çorlu,Onur Şen,≤100,1
