Location name,Amount spent (KES)
Central Province,504
Coast Province,241
Eastern Province,2254
Nairobi,2390
North Eastern Province,≤100
Nyanza Province,165
Rift Valley Province,1321
Unknown,≤100
Western Province,≤100
