Location name,Amount spent (BRL)
Acre (state),435
Alagoas,1888
Amapá,860
Amazonas,3947
Bahia,10751
Ceará,6320
Espírito Santo,3055
Federal District,3690
Goiás,5198
Maranhão,3791
Mato Grosso,5977
Mato Grosso do Sul,2830
Minas Gerais,19923
Paraná,7757
Paraíba,3341
Pará,3646
Pernambuco,9171
Piauí,1665
Rio Grande do Norte,2274
Rio Grande do Sul,9341
Rio de Janeiro (state),15652
Rondônia,1415
Roraima,993
Santa Catarina,7614
Sergipe,2130
São Paulo (state),51740
Tocantins,4117
Unknown,≤100
