Location name,Amount spent (COP)
Amazonas,810
Antioquia,13771274
Arauca,8703
Atlantico,773375
Bolivar,141056
Boyaca,257867
Caldas,221385
Caqueta,71944
Casanare,152420
Cauca,236008
Cesar,200981
Choco,14959
Cordoba,332614
Cundinamarca,962079
Distrito Especial,4010427
Guainia,16145
Guaviare,1745
Huila,587437
La Guajira,70303
Magdalena,247557
Meta,551946
Narino,124660
Norte de Santander,1115157
Putumayo,51145
Quindio,66746
Risaralda,470606
San Andres y Providencia,2820
Santander,2033579
Sucre,387774
Tolima,190036
Unknown,265
Valle del Cauca,4903974
Vaupes,235
Vichada,635
