Location name,Amount spent (UYU)
Artigas Department,358
Canelones Department,1833
Cerro Largo Department,480
Colonia Department,744
Durazno Department,300
Flores Department,153
Florida Department,315
Lavalleja Department,262
Maldonado Department,1166
Montevideo Department,8066
Paysandú Department,2736
Rivera Department,636
Rocha Department,327
Río Negro Department,281
Salto Department,810
San José Department,375
Soriano Department,354
Tacuarembó Department,425
Treinta y Tres Department,304
Unknown,≤100
