Location name,Amount spent (USD)
Alabama,14215
Alaska,2876
American Samoa,≤100
Arizona,39286
Arkansas,8721
California,134298
Colorado,23459
Connecticut,9620
Delaware,3667
Florida,82077
Georgia,34692
Hawaii,3675
Idaho,6430
Illinois,39211
Indiana,21868
Iowa,12032
Kansas,11106
Kentucky,15793
Louisiana,18243
Maine,8964
Maryland,23829
Massachusetts,21427
Michigan,43956
Minnesota,17356
Mississippi,9448
Missouri,18832
Montana,5585
Nebraska,4989
Nevada,15541
New Hampshire,7487
New Jersey,34199
New Mexico,7392
New York,106112
North Carolina,62784
North Dakota,3738
Ohio,51270
Oklahoma,14636
Oregon,15823
Pennsylvania,61118
Puerto Rico,≤100
Rhode Island,4146
South Carolina,27089
South Dakota,2377
Tennessee,24327
Texas,99227
Unknown,103
Utah,9989
Vermont,1846
Virgin Islands (U.S.),≤100
Virginia,31056
Washington,26138
"Washington, District of Columbia",10655
West Virginia,7721
Wisconsin,26694
Wyoming,1871
