Location name,Amount spent (INR)
Andaman and Nicobar Islands,233
Andhra Pradesh,60651
Arunachal Pradesh,2444
Assam,14588
Bihar,49415
Chandigarh,3878
Chhattisgarh,24243
Dadra and Nagar Haveli,1249
Delhi,41458
Goa,10402
Gujarat,55255
Haryana,50479
Himachal Pradesh,12966
Jammu and Kashmir,14687
Jharkhand,16615
Karnataka,314271
Kerala,18985
Lakshadweep,≤100
Madhya Pradesh,66108
Maharashtra,173845
Manipur,1574
Meghalaya,3337
Mizoram,587
Nagaland,1795
Odisha,17397
Puducherry,1277
Punjab region,33453
Rajasthan,138890
Sikkim,746
Tamil Nadu,89961
Telangana,46379
Tripura,2648
Unknown,≤100
Uttar Pradesh,111210
Uttarakhand,11925
West Bengal,51939
