Location name,Amount spent (VND)
An Giang Province,244630
Bà Rịa–Vũng Tàu Province,288280
Bình Dương Province,499197
Bình Phước Province,246756
Bình Thuận Province,240474
Bình Định Province,236705
Bạc Liêu Province,106933
Bắc Giang Province,506678
Bắc Kạn Province,102904
Bắc Ninh Province,321897
Bến Tre Province,167053
Cao Bằng Province,188784
Cà Mau Province,138921
Cần Thơ,156169
Da Nang,275524
Gia Lai Province,273898
Haiphong,390248
Ho Chi Minh City,2371213
Hà Giang Province,123517
Hà Nam Province,223979
Hà Tĩnh Province,336299
Hòa Bình Province,244069
Hưng Yên Province,262055
Hải Dương Province,416357
Hậu Giang Province,61181
Khánh Hòa Province,255047
Kiên Giang Province,224974
Kon Tum Province,99776
Lai Châu Province,28880
Long An Province,194711
Lào Cai Province,168805
Lâm Đồng Province,336559
Lạng Sơn Province,206006
Nam Định Province,305801
Nghệ An Province,716622
Ninh Bình Province,205675
Ninh Thuận Province,93249
Phú Thọ Province,423685
Phú Yên Province,176685
Quảng Bình Province,227043
Quảng Nam Province,304508
Quảng Ngãi Province,349162
Quảng Ninh Province,289973
Quảng Trị Province,205606
Sóc Trăng Province,160995
Sơn La Province,223387
Thanh Hóa Province,655166
Thái Bình Province,343146
Thái Nguyên Province,341520
Thừa Thiên–Huế Province,272390
Tiền Giang Province,220124
Trà Vinh Province,138802
Tuyên Quang Province,327391
Tây Ninh Province,604996
Unknown,499
Vĩnh Long Province,101223
Vĩnh Phúc Province,267222
Yên Bái Province,204982
Điện Biên Province,116234
Đắk Lắk Province,560009
Đắk Nông Province,158651
Đồng Nai Province,576503
Đồng Tháp Province,162388
