Location name,Amount spent (INR)
Andaman and Nicobar Islands,180
Andhra Pradesh,65882
Arunachal Pradesh,1006
Assam,17279
Bihar,52648
Chandigarh,1498
Chhattisgarh,11971
Dadra and Nagar Haveli,673
Delhi,43938
Goa,3990
Gujarat,47171
Haryana,44857
Himachal Pradesh,14721
Jammu and Kashmir,12549
Jharkhand,13477
Karnataka,108970
Kerala,12742
Lakshadweep,≤100
Madhya Pradesh,37983
Maharashtra,113505
Manipur,1580
Meghalaya,166866
Mizoram,624
Nagaland,12326
Odisha,13163
Puducherry,1134
Punjab region,40387
Rajasthan,118767
Sikkim,1179
Tamil Nadu,43205
Telangana,50826
Tripura,123765
Unknown,≤100
Uttar Pradesh,93143
Uttarakhand,11559
West Bengal,43534
