Page ID,Page name,Disclaimer,Amount spent (INR),Number of ads in Library
568928239883450,The Times Of A Better India,The Times Of A Better India,188162,8
108777655527686,Trinamoole Nabo Jowar,Trinamoole Nabo Jowar,60476,60
109937650579639,discovery+,discovery+,38111,31
349222085840969,Youth in Politics,Indian Political Action Committee,24244,64
309587409080562,YSR Congress  Party - YSRCP,Jagane Kavali,23094,22
104211439033799,Jagane Kavali,Jagane Kavali,22546,40
703726259672921,BJP Telangana,Bharatiya Janata Party (BJP),20845,40
108102345201383,Pappu Gappu - पप्पू गप्पू,Pappu Gappu - पप्पू गप्पू,19715,16
109779048752146,Maharashtra Building and Other Construction worker's welfare Board,OM Enterprises,19595,22
109545244848137,Crafto,Kutumb App,19300,17
103036987747307,Congress Sarkar Bharosa Barkarar,Congress Sarkar Bharosa Barkarar,16660,15
107395897271506,Kutumb,Swatantra Verma,16505,26
30290552843,Greenpeace India,Greenpeace Environment Trust,15192,19
102081487967480,Sri Mandir,These ads ran without a disclaimer,14951,1
327120054405346,Jagananna ki Thoduga,Jagan Anna ki Thoduga,14329,28
174283119250672,Bal Raksha Bharat,Bal Raksha Bharat,12178,38
145755812696400,Tarun Bhanot,Yash Chawla,11315,13
330760810293224,HelpAge India,HelpAge India,11142,8
268390446955602,Malayali Media,MALAYALI MEDIA,10735,3
797927846899300,Flag Foundation of India,Flag Foundation of India,10395,12
108080828884036,Gehlot Phir Se,DesignBoxed,10314,12
105311899249332,Corruption Nath,corruptionnath.com,10314,5
101284456085904,Team Jagananna,Team Jagananna,9959,6
109779048752146,Maharashtra Building and Other Construction worker's welfare Board,Maharashtra Building and Other Construction worker's welfare Board,9656,22
1521106071438318,CMO Chhattisgarh,Clarion IT,9275,4
574079826086251,Phir Ek Baar Modi Sarkar,phirekbaarmodisarkar.com,8317,24
21169267101,Give,Give,7431,27
1331545046906640,Gottumukkala Venkateshwara Rao,Venkateswar Rao Gottumukkala,7132,7
270666596375251,Jhatkaa.org,Jhatkaa.org,7114,8
1521106071438318,CMO Chhattisgarh,IVS Corporation,6873,3
20386543316,WWF-India,WWF-India,6867,1
114233898263244,Indian Compass Videos,theindiancompass.com,6384,101
109888271582555,Be The Change For TB,Johnson & Johnson India Private Limited,6058,8
1293402667423924,Bhupesh Hai To Bharosa Hai,Bhupesh Hai To Bharosa Hai,5548,17
104498182955926,Tetra Pak  India,These ads ran without a disclaimer,5365,2
388224945142881,Banglar Gorbo Mamata,Indian Political Action Committee,5201,17
117766321322298,MP ke Mann Mein Modi,mpkemannmeinmodi.com,5174,4
100214233049145,Minority Development Department Maharashtra,Minority Development Department Maharashtra,5153,14
122113970879506,Nahi Sahega Rajasthan - नहीं सहेगा राजस्थान,Bharatiya Janata Party,5082,4
105515435289387,Kaka Abhi Zinda Hai,Kaka Abhi Zinda Hai,5051,16
132689140088396,smilefoundation,smilefoundation,5026,11
101038879308594,Abhijeet Deshmukh,Abhijeet Deshmukh,4876,4
523121567889527,Jitender Kumar Bhardwaj,Jitender Kumar Bhardwaj,4821,1
123405501008524,Mercedes-Benz India,Mercedes-Benz India,4803,3
243524299157863,Pushkar Singh Dhami,Pushkar Singh Dhami,4635,26
100593272504732,Brand Flex : Business Post & Festival Images,These ads ran without a disclaimer,4334,4
1399553863632546,Kolan Hanmanth Reddy,Kolan Hanmanth Reddy,4223,7
108122258569992,Keshari Singh Azad,Rohit Githala,4165,6
102177112507392,Aapanna Hastham,Aapanna Hastham,4158,8
245708465537707,Bhupesh Baghel,Bhupesh Baghel,4152,13
317042561720861,Sunil Deodhar,Sunil Deodhar,4108,41
111206501838435,Master Travel Education,Master Travel Education,4105,1
117862321216853,ਸੂਝਵਾਨ ਪੰਜਾਬ - Soojhwan Punjab,Rise Solution,3842,22
479998865355592,Aditya Birla Group,Aditya Birla Group,3828,2
103782051383159,School of Politics,School of Politics,3821,17
746568209028564,Dr. Basu Eye Hospital,Dr. Basu Eye Hospital,3687,2
155418314920954,Orchid HRD Trainings भाषणकला व राजकीय नेतृत्व कौशल्य प्रशिक्षण,Ganesh Subhashrao Lomte,3649,4
110981572012380,Asddsaf,These ads ran without a disclaimer,3640,2
105815225595031,मोदी साथे राजस्थान,मोदी साथे राजस्थान,3542,9
113484060843656,The Unmute,The Unmute,3422,5
242854309081857,Hanuman Beniwal,Hanuman Beniwal,3374,2
102112998968049,भाषण कला स्पेशल,Pavankumar Dadasaheb Jadhav,3353,2
