Location name,Amount spent (GTQ)
Alta Verapaz Department,212
Baja Verapaz Department,≤100
Chimaltenango Department,123
Chiquimula Department,102
El Progreso Department,≤100
Escuintla Department,273
Guatemala Department,3075
Huehuetenango Department,206
Izabal Department,170
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,103
Quetzaltenango Department,311
Quiché Department,158
Retalhuleu Department,≤100
Sacatepéquez Department,130
San Marcos Department,546
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,118
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
