Location name,Amount spent (TRY)
Adana Province,22758
Adıyaman Province,7126
Afyonkarahisar Province,7359
Aksaray Province,8168
Amasya Province,3225
Ankara Province,59055
Antalya Province,36880
Ardahan Province,1497
Artvin Province,2612
Aydın Province,12978
Ağrı Province,1421
Balıkesir Province,14599
Bartın Province,2458
Batman Province,3015
Bayburt Province,781
Bilecik Province,2546
Bingöl Province,1002
Bitlis Province,1176
Bolu Province,3631
Burdur Province,2612
Bursa Province,47617
Denizli Province,21122
Diyarbakır Province,7325
Düzce Province,4524
Edirne Province,2449
Elazığ Province,5745
Erzincan Province,4644
Erzurum Province,3904
Eskişehir Province,20449
Gaziantep Province,16593
Giresun Province,7355
Gümüşhane Province,1224
Hakkâri Province,535
Hatay Province,10470
Isparta Province,6315
Istanbul Province,314659
Iğdır Province,582
Kahramanmaraş Province,7217
Karabük Province,6075
Karaman Province,2695
Kars Province,1425
Kastamonu Province,11770
Kayseri Province,18586
Kilis Province,2312
Kocaeli Province,25050
Konya Province,23745
Kütahya Province,5662
Kırklareli Province,3180
Kırıkkale Province,4127
Kırşehir Province,2385
Malatya Province,3552
Manisa Province,19574
Mardin Province,3408
Mersin Province,33116
Muğla Province,10624
Muş Province,962
Nevşehir Province,2007
Niğde Province,3528
Ordu Province,18525
Osmaniye Province,4760
Rize Province,4895
Sakarya Province,6743
Samsun Province,17585
Siirt Province,2203
Sinop Province,2470
Sivas Province,9424
Tekirdağ Province,16934
Tokat Province,7513
Trabzon Province,29574
Tunceli Province,430
Unknown,≤100
Uşak Province,7740
Van Province,4754
Yalova Province,2537
Yozgat Province,7882
Zonguldak Province,7467
Çanakkale Province,7104
Çankırı Province,4880
Çorum Province,5631
İzmir Province,66084
Şanlıurfa Province,12538
Şırnak Province,1805
