Location name,Amount spent (PLN)
Greater Poland Voivodeship,4561
Kuyavian-Pomeranian Voivodeship,2879
Lesser Poland Voivodeship,5266
Lower Silesian Voivodeship,3870
Lublin Voivodeship,2358
Lubusz Voivodeship,1026
Masovian Voivodeship,8156
Opole Voivodeship,934
Podkarpackie Voivodeship,1971
Podlaskie Voivodeship,1267
Pomeranian Voivodeship,3343
Silesian Voivodeship,4775
Unknown,≤100
Warmian-Masurian Voivodeship,1464
West Pomeranian Voivodeship,2036
Łódź Voivodeship,3202
Świętokrzyskie Voivodeship,1230
