Location name,Amount spent (HUF)
Baranya County,115708
Borsod-Abaúj-Zemplén County,153562
Budapest,619125
Bács-Kiskun County,123592
Békés County,85687
Csongrád County,124832
Fejér County,116819
Győr-Moson-Sopron County,129539
Hajdú-Bihar County,123714
Heves County,117750
Jász-Nagykun-Szolnok County,87519
Komárom-Esztergom County,74578
Nógrád County,45857
Pest County,250660
Somogy County,75627
Szabolcs-Szatmár-Bereg County,121646
Tolna County,64978
Unknown,≤100
Vas County,63743
Veszprém County,82808
Zala County,70176
