Location name,Amount spent (USD)
Alabama,10617
Alaska,2072
American Samoa,≤100
Arizona,27925
Arkansas,7105
California,88866
Colorado,20753
Connecticut,8034
Delaware,2712
Florida,58022
Georgia,31673
Guam,≤100
Hawaii,3097
Idaho,4839
Illinois,30836
Indiana,14864
Iowa,9467
Kansas,7550
Kentucky,20753
Louisiana,15133
Maine,7142
Maryland,21958
Massachusetts,15468
Michigan,36187
Minnesota,15432
Mississippi,7821
Missouri,14750
Montana,3986
Nebraska,3892
Nevada,11715
New Hampshire,5846
New Jersey,41986
New Mexico,5710
New York,64465
North Carolina,51978
North Dakota,1199
Northern Mariana Islands,≤100
Ohio,33517
Oklahoma,8839
Oregon,14063
Pennsylvania,43991
Puerto Rico,≤100
Rhode Island,3632
South Carolina,22381
South Dakota,3295
Tennessee,17899
Texas,79272
Unknown,≤100
Utah,8509
Vermont,1310
Virgin Islands (U.S.),≤100
Virginia,35922
Washington,16681
"Washington, District of Columbia",9289
West Virginia,6007
Wisconsin,22946
Wyoming,1517
