Location name,Amount spent (RON)
Alba County,235
Arad County,458
Argeș County,479
Bacău County,499
Bihor County,370
Bistrița-Năsăud County,269
Botoșani County,250
Brașov County,366
Brăila County,201
Bucharest,1781
Buzău County,252
Caraș-Severin County,244
Cluj County,550
Constanța County,578
Covasna County,147
Călărași County,172
Dolj County,440
Dâmbovița County,294
Galați County,451
Giurgiu County,122
Gorj County,232
Harghita County,296
Hunedoara County,333
Ialomița County,232
Iași County,848
Ilfov County,314
Maramureș County,390
Mehedinți County,161
Mureș County,430
Neamț County,450
Olt County,199
Prahova County,379
Satu Mare County,236
Sibiu County,256
Suceava County,405
Sălaj County,159
Teleorman County,174
Timiș County,557
Tulcea County,124
Unknown,≤100
Vaslui County,227
Vrancea County,213
Vâlcea County,377
