Location name,Amount spent (NOK)
Akershus,4707
Aust-Agder,852
Buskerud,1894
Finnmark,893
Hedmark,1027
Hordaland,5645
Møre og Romsdal,1779
Nord-Trøndelag,694
Nordland,1538
Oppland,1210
Oslo,9400
Rogaland,4092
Sogn og Fjordane,626
Svalbard and Jan Mayen,≤100
Sør-Trøndelag,3024
Telemark,1543
Troms,2013
Unknown,≤100
Vest-Agder,2082
Vestfold,2551
Østfold,2223
