Location name,Amount spent (INR)
Andaman and Nicobar Islands,398
Andhra Pradesh,60951
Arunachal Pradesh,831
Assam,13807
Bihar,39557
Chandigarh,1724
Chhattisgarh,25320
Dadra and Nagar Haveli,1143
Delhi,49191
Goa,2762
Gujarat,42891
Haryana,33703
Himachal Pradesh,11664
Jammu and Kashmir,5192
Jharkhand,13931
Karnataka,40736
Kerala,11369
Lakshadweep,≤100
Madhya Pradesh,56668
Maharashtra,116921
Manipur,112
Meghalaya,2682
Mizoram,419
Nagaland,349
Odisha,15043
Puducherry,4372
Punjab region,24215
Rajasthan,159923
Sikkim,1648
Tamil Nadu,101448
Telangana,75755
Tripura,2384
Unknown,≤100
Uttar Pradesh,87554
Uttarakhand,9271
West Bengal,52819
