Location name,Amount spent (SEK)
Blekinge County,9696
Dalarna County,19875
Gotland County,4609
Gävleborg County,20986
Halland County,20195
Jämtland County,9751
Jönköping County,23272
Kalmar County,14672
Kronoberg County,11518
Norrbotten County,18718
Skåne County,87162
Stockholm County,169837
Södermanland County,19385
Unknown,≤100
Uppsala County,26676
Värmland County,17404
Västerbotten County,18687
Västernorrland County,17099
Västmanland County,17858
Västra Götaland County,111442
Örebro County,19714
Östergötland County,29625
