Location name,Amount spent (VND)
An Giang Province,114375
Bà Rịa–Vũng Tàu Province,112135
Bình Dương Province,235950
Bình Phước Province,107299
Bình Thuận Province,127560
Bình Định Province,120338
Bạc Liêu Province,33872
Bắc Giang Province,205354
Bắc Kạn Province,79869
Bắc Ninh Province,159261
Bến Tre Province,69836
Cao Bằng Province,76671
Cà Mau Province,49263
Cần Thơ,94395
Da Nang,123673
Gia Lai Province,99665
Haiphong,169046
Ho Chi Minh City,2317192
Hà Giang Province,78861
Hà Nam Province,84206
Hà Tĩnh Province,234656
Hòa Bình Province,104354
Hưng Yên Province,110738
Hải Dương Province,196412
Hậu Giang Province,24356
Khánh Hòa Province,152259
Kiên Giang Province,125993
Kon Tum Province,421336
Lai Châu Province,19143
Long An Province,85506
Lào Cai Province,91159
Lâm Đồng Province,179062
Lạng Sơn Province,114823
Nam Định Province,147068
Nghệ An Province,413090
Ninh Bình Province,91764
Ninh Thuận Province,28795
Phú Thọ Province,150961
Phú Yên Province,56476
Quảng Bình Province,103068
Quảng Nam Province,114179
Quảng Ngãi Province,155577
Quảng Ninh Province,120960
Quảng Trị Province,71724
Sóc Trăng Province,48763
Sơn La Province,121441
Thanh Hóa Province,373769
Thái Bình Province,187236
Thái Nguyên Province,189105
Thừa Thiên–Huế Province,129888
Tiền Giang Province,66808
Trà Vinh Province,49087
Tuyên Quang Province,233774
Tây Ninh Province,281829
Unknown,153
Vĩnh Long Province,46030
Vĩnh Phúc Province,118459
Yên Bái Province,131694
Điện Biên Province,86727
Đắk Lắk Province,168292
Đắk Nông Province,66484
Đồng Nai Province,482548
Đồng Tháp Province,75878
