Location name,Amount spent (ZAR)
Eastern Cape,1707
Free State,496
Gauteng,2938
KwaZulu-Natal,1617
Limpopo,414
Mpumalanga,463
North West,401
Northern Cape,272
Unknown,≤100
Western Cape,6178
