Location name,Amount spent (JPY)
Aichi Prefecture,14180
Akita Prefecture,1990
Aomori Prefecture,1605
Chiba Prefecture,19596
Ehime Prefecture,1649
Fukui Prefecture,2345
Fukuoka Prefecture,34496
Fukushima Prefecture,2495
Gifu Prefecture,10694
Gunma Prefecture,2724
Hiroshima Prefecture,4299
Hokkaido,9095
Hyōgo Prefecture,9648
Ibaraki Prefecture,4773
Ishikawa Prefecture,2382
Iwate Prefecture,2236
Kagawa Prefecture,2215
Kagoshima Prefecture,2226
Kanagawa Prefecture,36022
Kumamoto Prefecture,7168
Kyoto Prefecture,6333
Kōchi Prefecture,809
Mie Prefecture,2553
Miyagi Prefecture,12481
Miyazaki Prefecture,1676
Nagano Prefecture,3937
Nagasaki Prefecture,7542
Nara Prefecture,2373
Niigata Prefecture,11049
Okayama Prefecture,4745
Okinawa Prefecture,5799
Osaka Prefecture,18639
Saga Prefecture,4569
Saitama Prefecture,12335
Shiga Prefecture,2845
Shimane Prefecture,4507
Shizuoka Prefecture,5746
Tochigi Prefecture,2889
Tokushima Prefecture,1255
Tokyo,80410
Tottori Prefecture,3208
Toyama Prefecture,1958
Unknown,≤100
Wakayama Prefecture,1585
Yamagata Prefecture,1783
Yamaguchi Prefecture,2999
Yamanashi Prefecture,1860
Ōita Prefecture,7500
