Page ID,Page name,Disclaimer,Amount spent (BSD),Number of ads in Library
109784241737504,A Closer Look,Fincastle Media Group,≤100,5
110510071864172,"Deputy Prime Minister of The Bahamas, Chester Cooper","Deputy Prime Minister of The Bahamas, Chester Cooper",≤100,2
1025152104235573,Team Cooper - Chester Cooper,Isaac Chester Cooper,≤100,1
108786101365665,Senator Maxine Seymour,Maxine Valarie Seymour,≤100,1
108785284600576,"J. Kwasi Thompson, MP East Grand Bahama",Kwasi Malik Thompson,≤100,1
675627625962585,Telintel,These ads ran without a disclaimer,≤100,1
106883638833589,El Cambio Posible,These ads ran without a disclaimer,≤100,1
198398326957053,Shree Krishnayan Desi Gauraksha Avam Golokdham Sewa Samiti,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,1
