Location name,Amount spent (NOK)
Akershus,2603
Aust-Agder,360
Buskerud,1002
Finnmark,286
Hedmark,647
Hordaland,1909
Møre og Romsdal,907
Nord-Trøndelag,420
Nordland,823
Oppland,611
Oslo,4777
Rogaland,1566
Sogn og Fjordane,364
Sør-Trøndelag,1277
Telemark,545
Troms,656
Unknown,≤100
Vest-Agder,850
Vestfold,916
Østfold,1044
