Location name,Amount spent (NOK)
Akershus,4169
Aust-Agder,1191
Buskerud,1225
Finnmark,202
Hedmark,562
Hordaland,1617
Møre og Romsdal,892
Nord-Trøndelag,301
Nordland,631
Oppland,573
Oslo,6200
Rogaland,1827
Sogn og Fjordane,255
Sør-Trøndelag,952
Telemark,1649
Troms,477
Unknown,≤100
Vest-Agder,2742
Vestfold,910
Østfold,1194
