Location name,Amount spent (RON)
Alba County,729
Arad County,842
Argeș County,906
Bacău County,885
Bihor County,962
Bistrița-Năsăud County,490
Botoșani County,571
Brașov County,1315
Brăila County,455
Bucharest,6537
Buzău County,679
Caraș-Severin County,396
Cluj County,1872
Constanța County,1723
Covasna County,375
Călărași County,399
Dolj County,867
Dâmbovița County,681
Galați County,1056
Giurgiu County,313
Gorj County,503
Harghita County,662
Hunedoara County,897
Ialomița County,464
Iași County,2215
Ilfov County,732
Maramureș County,924
Mehedinți County,459
Mureș County,1217
Neamț County,911
Olt County,396
Prahova County,1529
Satu Mare County,655
Sibiu County,1101
Suceava County,1236
Sălaj County,363
Teleorman County,328
Timiș County,1576
Tulcea County,301
Unknown,≤100
Vaslui County,495
Vrancea County,815
Vâlcea County,692
