Location name,Amount spent (IDR)
Aceh,1061130
Bali,2062118
Bangka–Belitung Islands,677342
Banten,2539245
Bengkulu,1040875
Central Java,11201822
Central Kalimantan,1044391
Central Sulawesi,1317633
East Java,11198474
East Kalimantan,2539376
East Nusa Tenggara,1858801
Gorontalo,1032204
Jakarta,14744798
Jambi,1211607
Lampung,1800537
Maluku,758100
North Kalimantan,609310
North Maluku,660966
North Sulawesi,1909228
North Sumatra,3606961
Papua (province),968431
Riau,2694352
Riau Islands Province,1185908
South Kalimantan,1351038
South Sulawesi,3248302
South Sumatra,2129680
Southeast Sulawesi,1051409
Special Region of Yogyakarta,1333562
Unknown,11275
West Java,11011198
West Kalimantan,1685292
West Nusa Tenggara,1606356
West Papua,623418
West Sulawesi,774706
West Sumatra,1872294
