Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,117
Apurímac Region,≤100
Arequipa Region,190
Ayacucho Region,≤100
Cajamarca Region,≤100
Callao,≤100
Cusco Region,146
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,175
Junín Region,≤100
La Libertad Region,193
Lambayeque Region,151
Lima Region,2500
Loreto Region,≤100
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,150
Puno Region,124
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
