Location name,Amount spent (EUR)
Harju County,4389
Hiiu County,≤100
Ida-Viru County,495
Järva County,222
Jõgeva County,178
Lääne County,162
Lääne-Viru County,305
Pärnu County,370
Põlva County,145
Rapla County,212
Saare County,228
Tartu County,1265
Unknown,≤100
Valga County,144
Viljandi County,250
Võru County,217
