Location name,Amount spent (GTQ)
Alta Verapaz Department,1728
Baja Verapaz Department,664
Chimaltenango Department,1831
Chiquimula Department,1239
El Progreso Department,609
Escuintla Department,3194
Guatemala Department,33319
Huehuetenango Department,2701
Izabal Department,1724
Jalapa Department,862
Jutiapa Department,1466
Petén Department,1198
Quetzaltenango Department,3239
Quiché Department,2358
Retalhuleu Department,1155
Sacatepéquez Department,1616
San Marcos Department,5550
Santa Rosa Department,1431
Sololá Department,1123
Suchitepéquez Department,1422
Totonicapán Department,924
Unknown,≤100
Zacapa Department,803
