Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,123
Apurímac Region,≤100
Arequipa Region,132
Ayacucho Region,≤100
Cajamarca Region,101
Callao,≤100
Cusco Region,127
Huancavelica Region,≤100
Huánuco Region,≤100
Ica Region,149
Junín Region,115
La Libertad Region,165
Lambayeque Region,131
Lima Region,886
Loreto Region,177
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,431
Puno Region,203
San Martín Region,≤100
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
