Location name,Amount spent (PYG)
Alto Paraguay Department,121718
Alto Paraná Department,11143955
Amambay Department,1191495
Asunción,10160619
Boquerón department,452580
Caaguazú Department,4517259
Caazapá Department,1068576
Canindeyú Department,1326351
Central Department,22627819
Concepción Department (Paraguay),1276143
Cordillera Department,2257590
Guairá Department,1719976
Itapúa Department,4940673
Misiones Department,1134174
Paraguarí Department,1352251
Presidente Hayes Department,956973
San Pedro Department,1996884
Unknown,2214
Ñeembucú Department,803995
