Location name,Amount spent (PLN)
Greater Poland Voivodeship,3742
Kuyavian-Pomeranian Voivodeship,2023
Lesser Poland Voivodeship,3600
Lower Silesian Voivodeship,3050
Lublin Voivodeship,1574
Lubusz Voivodeship,1019
Masovian Voivodeship,6470
Opole Voivodeship,749
Podkarpackie Voivodeship,1601
Podlaskie Voivodeship,818
Pomeranian Voivodeship,2958
Silesian Voivodeship,3982
Unknown,≤100
Warmian-Masurian Voivodeship,1270
West Pomeranian Voivodeship,1726
Łódź Voivodeship,3882
Świętokrzyskie Voivodeship,935
