Location name,Amount spent (EUR)
Alsace,425
Aquitaine,962
Auvergne,262
Basse-Normandie,295
Bourgogne,316
Bretagne,701
Centre,504
Champagne-Ardenne,307
Corse,≤100
Franche-Comté,223
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,370
Languedoc-Roussillon,757
Limousin,172
Lorraine,501
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,640
New Caledonia,≤100
Nord-Pas-de-Calais,793
Pays de la Loire,721
Picardie,419
Poitou-Charentes,441
Provence-Alpes-Côte d'Azur,1664
Reunion Island,≤100
Rhône-Alpes,1417
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3652
