Location name,Amount spent (EUR)
Alsace,768
Aquitaine,1101
Auvergne,362
Basse-Normandie,461
Bourgogne,486
Bretagne,998
Centre,883
Champagne-Ardenne,386
Corse,127
Franche-Comté,314
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,813
Languedoc-Roussillon,1019
Limousin,197
Lorraine,863
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,912
New Caledonia,≤100
Nord-Pas-de-Calais,1378
Pays de la Loire,1159
Picardie,620
Poitou-Charentes,491
Provence-Alpes-Côte d'Azur,1939
Reunion Island,≤100
Rhône-Alpes,2144
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3706
