Location name,Amount spent (PLN)
Greater Poland Voivodeship,4491
Kuyavian-Pomeranian Voivodeship,2696
Lesser Poland Voivodeship,3786
Lower Silesian Voivodeship,3322
Lublin Voivodeship,1992
Lubusz Voivodeship,1026
Masovian Voivodeship,9757
Opole Voivodeship,969
Podkarpackie Voivodeship,1767
Podlaskie Voivodeship,968
Pomeranian Voivodeship,3192
Silesian Voivodeship,4421
Unknown,≤100
Warmian-Masurian Voivodeship,1461
West Pomeranian Voivodeship,2147
Łódź Voivodeship,3634
Świętokrzyskie Voivodeship,1064
