Location name,Amount spent (CZK)
Central Bohemian Region,6465
Hradec Králové Region,2784
Karlovy Vary Region,1552
Liberec Region,2240
Moravian-Silesian Region,5905
Olomouc Region,5582
Pardubice Region,3117
Plzeň Region,3445
Prague,15722
South Bohemian Region,3054
South Moravian Region,8323
Unknown,126
Vysočina Region,2215
Zlín Region,2537
Ústí nad Labem Region,6377
