Location name,Amount spent (JPY)
Aichi Prefecture,17646
Akita Prefecture,2218
Aomori Prefecture,2065
Chiba Prefecture,23210
Ehime Prefecture,2364
Fukui Prefecture,2230
Fukuoka Prefecture,32864
Fukushima Prefecture,3411
Gifu Prefecture,12915
Gunma Prefecture,3314
Hiroshima Prefecture,5734
Hokkaido,10246
Hyōgo Prefecture,15220
Ibaraki Prefecture,5322
Ishikawa Prefecture,3786
Iwate Prefecture,2337
Kagawa Prefecture,2738
Kagoshima Prefecture,3426
Kanagawa Prefecture,32468
Kumamoto Prefecture,6019
Kyoto Prefecture,8319
Kōchi Prefecture,1011
Mie Prefecture,3604
Miyagi Prefecture,15096
Miyazaki Prefecture,2380
Nagano Prefecture,5054
Nagasaki Prefecture,6865
Nara Prefecture,3391
Niigata Prefecture,3770
Okayama Prefecture,6207
Okinawa Prefecture,7163
Osaka Prefecture,22933
Saga Prefecture,3430
Saitama Prefecture,15378
Shiga Prefecture,3430
Shimane Prefecture,1287
Shizuoka Prefecture,7342
Tochigi Prefecture,3394
Tokushima Prefecture,1557
Tokyo,89633
Tottori Prefecture,925
Toyama Prefecture,1939
Unknown,≤100
Wakayama Prefecture,1873
Yamagata Prefecture,2179
Yamaguchi Prefecture,4136
Yamanashi Prefecture,2036
Ōita Prefecture,5204
