Location name,Amount spent (DKK)
Capital Region of Denmark,60406
Central Denmark Region,34683
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,15483
Region of Southern Denmark,31355
Unknown,≤100
Zealand Region,19257
