Location name,Amount spent (LBP)
Beirut Governorate,2625241
Beqaa Governorate,981195
Mount Lebanon Governorate,1402985
Nabatieh Governorate,472538
North Governorate,1469056
South Governorate,970149
Unknown,≤100
