Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,996
Bicol Region,11597
Cagayan Valley,2901
Calabarzon,29648
Caraga,2440
Central Luzon,13824
Central Visayas,6158
Cordillera Administrative Region,1831
Davao Region,5977
Eastern Visayas,4488
Ilocos Region,5931
Metro Manila,64501
Mimaropa,2495
Northern Mindanao,6181
Soccsksargen,3859
Unknown,≤100
Western Visayas,9005
Zamboanga Peninsula,3775
